,metal,linker_SMILES
170,Cu,O=C(Nc1cc(NC(=O)Nc2cc(C(=O)O)cc(C(=O)O)c2)cc(NC(=O)Nc2cc(C(=O)O)cc(C(=O)O)c2)c1)Nc1cc(C(=O)O)cc(C(=O)O)c1
171,Zn,O=C(Nc1cc(NC(=O)Nc2cc(C(=O)O)cc(C(=O)O)c2)cc(NC(=O)Nc2cc(C(=O)O)cc(C(=O)O)c2)c1)Nc1cc(C(=O)O)cc(C(=O)O)c1
172,Tb,O=C(O)c1ccc(C(=O)O)cc1
173,Cu,c1nnc[nH]1
174,Mn,O=C(O)C(=O)O
175,Ag,O=C(NCc1cccnc1)c1cc(C(=O)NCc2cccnc2)cc(C(=O)NCc2cccnc2)c1
176,Cu,O=C1CC(=O)NC=N1
177,Co,O=C(O)c1cc(Cc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1
178,Ni,O=C(O)c1cc(Cc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1
179,Cu,O=C(O)c1cc(Cc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1
180,Mn,O=C(O)c1cc(C(=O)O)cc(-c2cc(C(=O)O)cc(C(=O)O)c2)c1
181,V,O=C(O)c1ccc(C(=O)O)cc1
182,La,O=C(O)c1ccc(C(=O)O)cc1
183,Ce,O=C(O)c1ccc(C(=O)O)cc1
184,Nd,O=C(O)c1ccc(C(=O)O)cc1
185,Y,O=C(O)c1ccc(C(=O)O)cc1
186,Dy,O=C(O)c1ccc(C(=O)O)cc1
187,Ce,O=C(O)c1ccc(/N=N/c2ccc(C(=O)O)cc2)cc1
188,Sm,O=C(O)c1ccc(/N=N/c2ccc(C(=O)O)cc2)cc1
189,Eu,O=C(O)c1ccc(/N=N/c2ccc(C(=O)O)cc2)cc1
190,Gd,O=C(O)c1ccc(/N=N/c2ccc(C(=O)O)cc2)cc1
191,Cd,O=C(O)c1cncnc1
192,Cu,O=C(O)c1cncnc1
193,Pb,O=C(O)c1ccc(C(=O)O)nc1
194,Nd,O=C(O)CC(=O)O
195,Ag,Nc1ccc(C(=O)O)cc1
196,Pb,O=C(O)c1ccc(-c2ccc(C(=O)O)cc2C(=O)O)nc1
197,Cu,CCCCc1nnc(CCCC)[nH]1
198,Cd,c1cc([C@H]2[C@H](c3ccncc3)[C@@H](c3ccncc3)[C@@H]2c2ccncc2)ccn1
199,Eu,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O
200,Tb,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O
201,Dy,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O
202,Ho,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O
203,Er,O=C(O)c1ccc(C(=O)O)cc1
204,Yb,O=C(O)c1ccc(C(=O)O)cc1
205,Fe,O=CO
206,Co,O=CO
207,Ni,O=CO
208,Cu,O=CO
209,Zn,O=CO
210,Tb,O=C(O)c1ccc(/C=C/c2ccc(C(=O)O)cc2)cc1
211,Eu,O=C(O)c1ccc(/C=C/c2ccc(C(=O)O)cc2)cc1
212,Cu,S=C(S)N1CCCC1
213,K,O=C(O)c1ccc(-c2ccc(C(=O)O)cc2C(=O)O)nc1
214,Sm,O=P(O)(O)CCCCS(O)(O)O
215,Pr,O=P(O)(O)CCCCS(O)(O)O
216,Ca,O=C(O)CCCC(=O)O
217,Mg,O=CO
218,Hg,O=C(O)c1cccnc1C(=O)O
219,In,O=C(O)c1c(F)c(F)c(C(=O)O)c(F)c1F
220,K,O=C1CC(=O)NC(=O)N1
221,Na,O=C1CC(=O)NC(=O)N1
222,Cd,O=C(O)c1ccc(-c2ccc(C(=O)O)cc2[N+](=O)[O-])c([N+](=O)[O-])c1
