,2253
699,-0.0021033862
700,-0.005056173
701,-0.0043965075
702,-0.0007536447
703,-0.0069617885
704,-0.00087883684
705,-0.0016931681
706,-0.005042092
707,-0.0017923103
708,-0.0007609853
709,-0.0045171524
710,-0.0024726521
711,-0.0011715512
712,-0.0025136303
713,-0.001858521
714,-0.0014613011
715,-0.0012842183
716,-0.003613356
717,-0.0065039927
718,-0.003495263
719,-0.0012774207
720,-0.0068812594
721,-0.0055554486
722,-0.0012900657
723,-0.0013573287
724,-0.0051481146
725,-0.005710665
726,-0.0018627226
727,-0.0037541501
728,-0.0030322946
729,-0.0015740311
730,-0.0038540028
731,-0.000536331
732,-0.0049177874
733,-0.000702747
734,-0.0048788544
735,-0.0014124347
736,-0.0015603609
737,-0.0006126284
738,-0.0032281522
739,-0.005774
740,-0.003298535
741,-0.005511313
742,-0.0032442103
743,-0.0066755936
744,-0.0067421068
745,-0.0026559187
746,-0.0055917357
747,-0.0049689943
748,-0.006110536
749,-0.005486477
750,-0.0023413186
751,-0.0012853928
752,-0.0022118357
753,-0.0012386525
754,-0.00075743045
755,-0.0021527335
756,-0.0046003396
757,-0.0032562092
758,-0.0019525153
759,-0.0065752985
760,-0.0010953582
761,-0.0014378569
762,-0.00901537
763,-0.0020541633
764,-0.0024750733
765,-0.0011227825
766,-0.0010976506
767,-0.0013415877
768,-0.004166766
769,-0.0067170495
770,-0.0039766813
771,-0.0017839128
772,-0.0033492811
773,-0.001519854
774,-0.0011781454
775,-0.0017794505
776,-0.0013574907
777,-0.002449009
778,-0.002253397
779,-0.0023363198
780,-0.0017639151
781,-0.004111502
782,-0.0022981158
783,-0.0020949622
784,-0.0006863002
785,-0.00406523
786,-0.0013305834
787,-0.003189429
788,-0.005347986
789,-0.0013368527
790,-0.0070320764
791,-0.00181073
792,-0.0027869432
793,-0.006289224
794,-0.0066334596
795,-0.0011965163
796,-0.0046250457
797,-0.0052216565
798,-0.0081837615
799,-0.0038565132
800,-0.0024402104
801,-0.0053669303
802,-0.0033052557
803,-0.0012539085
804,-0.0076474817
805,-0.0045601325
806,-0.0057221847
807,-0.0014448351
808,-0.00466343
809,-0.0068629845
810,-0.0014014293
811,-0.0017783098
812,-0.0024965287
813,-0.0020680854
814,-0.0014226628
815,-0.0028787847
816,-0.0016429415
817,-0.005034705
818,-0.001992959
819,-0.0062521324
820,-0.0044612554
821,-0.0019742148
822,-0.0014067246
823,-0.0025385835
824,-0.007080648
825,-0.0028324965
826,-0.0022197852
827,-0.00096472783
828,-0.002612908
829,-0.0025589871
830,-0.0016773717
831,-0.0026347796
832,-0.0038859788
833,-0.004693106
834,-0.0059362836
835,-0.0013392604
836,-0.0014340562
837,-0.0052193315
838,-0.0007702351
839,-0.0014006809
840,-0.002377775
841,-0.0015144852
842,-0.004373089
843,-0.0047934633
844,-0.0036794336
845,-0.001934106
846,-0.001105176
847,-0.00300813
848,-0.0013741006
849,-0.0013287085
850,-0.0046848385
851,-0.0066515342
852,-0.0018631225
853,-0.002421353
854,-0.0019591383
855,-0.0013762169
856,-0.0010869638
857,-0.0023905612
858,-0.0024331613
859,-0.0011575442
860,-0.0027978262
861,-0.0020209965
862,-0.0047187037
863,-0.0019556053
864,-0.0030615288
865,-0.00126255
866,-0.0011001987
867,-0.0037259506
868,-0.0047803777
869,-0.0024157905
870,-0.0006985909
871,-0.005872123
872,-0.0010934634
873,-0.002466344
874,-0.0032339527
875,-0.0026669065
876,-0.0006419856
877,-0.0026630831
878,-0.0057104537
879,-0.0076250304
880,-0.004718658
881,-0.0013503386
882,-0.0017537882
883,-0.0019322394
884,-0.003284484
885,-0.0038134102
886,-0.00073053606
887,-0.00082479697
888,-0.004687984
889,-0.003436584
890,-0.002610377
891,-0.0017381554
892,-0.005374155
893,-0.004105868
894,-0.0013795036
895,-0.0019502133
896,-0.0016691106
897,-0.0071490994
898,-0.0014163149
899,-0.0032366742
900,-0.0033054638
901,-0.0020017077
902,-0.0019142968
903,-0.004493994
904,-0.0009416843
905,-0.003263188
906,-0.0024842734
907,-0.0014169434
908,-0.003709234
909,-0.0021227666
910,-0.0018557935
911,-0.0045553823
912,-0.0029479745
913,-0.005121466
914,-0.003872049
915,-0.0050701564
916,-0.0055233277
917,-0.0033275834
918,-0.0070110234
919,-0.003526842
920,-0.0013362898
921,-0.0019299181
922,-0.0012143833
923,-0.0013131157
924,-0.0036721947
925,-0.00084682845
926,-0.003943065
927,-0.0015210172
928,-0.0020027338
929,-0.001227958
930,-0.0049713086
931,-0.0033272724
932,-0.0012812077
933,-0.00087262876
934,-0.0011987296
935,-0.0045305295
936,-0.0010801563
937,-0.0028103418
938,-0.0007532198
939,-0.0005938044
940,-0.0011760072
941,-0.0023174214
942,-0.00064596505
943,-0.0017871397
944,-0.0016247067
945,-0.0026704525
946,-0.0036541035
947,-0.0024958765
948,-0.00513784
949,-0.0060356758
950,-0.0021641795
951,-0.0010434529
952,-0.0011210827
953,-0.0019053323
954,-0.005734424
955,-0.0025069336
956,-0.002636828
957,-0.0046943882
958,-0.0035531758
959,-0.004013892
960,-0.0023786621
961,-0.002086463
962,-0.0010888203
963,-0.0038303537
964,-0.001094825
965,-0.0031420393
966,-0.001461992
967,-0.0019863744
968,-0.0032066132
969,-0.00090254075
970,-0.006255244
971,-0.005703511
972,-0.005611946
973,-0.004896458
974,-0.0039259437
975,-0.0010165521
976,-0.002267876
977,-0.004193086
978,-0.0047930502
979,-0.0030360336
980,-0.00241211
981,-0.0029674775
982,-0.007890123
983,-0.0014305534
984,-0.0073071374
985,-0.0031323666
986,-0.001429762
987,-0.0027869162
988,-0.0036181093
989,-0.0020239358
990,-0.0013622189
991,-0.007637958
992,-0.005843311
993,-0.004494449
994,-0.0062499433
995,-0.0015804257
996,-0.0024319359
997,-0.0018505111
998,-0.0033199363
999,-0.0044508367
1000,-0.003251516
1001,-0.0011905523
1002,-0.000878127
1003,-0.0029913527
1004,-0.0018478782
1005,-0.0059963693
1006,-0.0013170574
1007,-0.0024331352
1008,-0.0018288676
1009,-0.0019573974
1010,-0.0065082894
1011,-0.0017685982
1012,-0.00096012175
1013,-0.005654598
1014,-0.00085758645
1015,-0.0031567784
1016,-0.0012344604
1017,-0.0024352367
1018,-0.0015120114
1019,-0.0013672211
1020,-0.00410904
1021,-0.0054607154
1022,-0.0011408743
1023,-0.0024308804
1024,-0.0061696055
1025,-0.0031509476
1026,-0.0037939316
1027,-0.0049597253
1028,-0.00096097804
1029,-0.001583861
1030,-0.0027597973
1031,-0.0016201304
1032,-0.0010152416
1033,-0.001292636
1034,-0.0026102676
1035,-0.0052160923
1036,-0.0016298596
1037,-0.0074113705
1038,-0.00412126
1039,-0.0029150469
1040,-0.0029101563
1041,-0.0034136155
1042,-0.0011550556
1043,-0.0025507985
1044,-0.0034820195
1045,-0.0011624981
1046,-0.004611508
1047,-0.0061619007
1048,-0.0015314335
1049,-0.0023284324
1050,-0.0023337752
1051,-0.0013561541
1052,-0.002161826
1053,-0.0013218537
1054,-0.0017958598
1055,-0.0008511804
1056,-0.0031809094
1057,-0.0014141721
1058,-0.0015876164
1059,-0.0009275761
1060,-0.002158138
1061,-0.004994926
1062,-0.0022914056
1063,-0.0011420861
1064,-0.0044104704
1065,-0.0019154581
1066,-0.0011906074
1067,-0.0039017247
1068,-0.006367748
1069,-0.005274798
1070,-0.0016649297
1071,-0.00075227016
1072,-0.005450796
1073,-0.001435292
1074,-0.0018798742
1075,-0.002313394
1076,-0.0019063381
1077,-0.0054200897
1078,-0.001814452
1079,-0.004709288
1080,-0.0046011787
1081,-0.0017783963
1082,-0.001220304
1083,-0.0035608655
1084,-0.0028977464
1085,-0.0065744715
1086,-0.005988016
1087,-0.0011666617
1088,-0.0014052317
1089,-0.002171255
1090,-0.0033198362
1091,-0.005268195
1092,-0.006187213
1093,-0.0013240124
1094,-0.0069424757
1095,-0.0023346588
1096,-0.0038573605
1097,-0.0061897123
1098,-0.002073321
1099,-0.0012260955
1100,-0.0023270114
